num[188]: 1:13, 2:6, 5:5, 10:0
num[189]: 1:13, 2:11, 5:1, 10:1
num[190]: 1:13, 2:11, 5:3, 10:0
num[191]: 1:13, 2:16, 5:1, 10:0
num[192]: 1:14, 2:3, 5:0, 10:3
num[193]: 1:14, 2:3, 5:2, 10:2
num[194]: 1:14, 2:3, 5:4, 10:1
num[195]: 1:14, 2:3, 5:6, 10:0
num[196]: 1:14, 2:8, 5:0, 10:2
num[197]: 1:14, 2:8, 5:2, 10:1
num[198]: 1:14, 2:8, 5:4, 10:0
num[199]: 1:14, 2:13, 5:0, 10:1
num[200]: 1:14, 2:13, 5:2, 10:0
num[201]: 1:14, 2:18, 5:0, 10:0
num[202]: 1:15, 2:0, 5:1, 10:3
num[203]: 1:15, 2:0, 5:3, 10:2
num[204]: 1:15, 2:0, 5:5, 10:1
num[205]: 1:15, 2:0, 5:7, 10:0
num[206]: 1:15, 2:5, 5:1, 10:2
num[207]: 1:15, 2:5, 5:3, 10:1
num[208]: 1:15, 2:5, 5:5, 10:0
num[209]: 1:15, 2:10, 5:1, 10:1
num[210]: 1:15, 2:10, 5:3, 10:0
num[211]: 1:15, 2:15, 5:1, 10:0
num[212]: 1:16, 2:2, 5:0, 10:3
num[213]: 1:16, 2:2, 5:2, 10:2
num[214]: 1:16, 2:2, 5:4, 10:1
num[215]: 1:16, 2:2, 5:6, 10:0
num[216]: 1:16, 2:7, 5:0, 10:2
num[217]: 1:16, 2:7, 5:2, 10:1
num[218]: 1:16, 2:7, 5:4, 10:0
num[219]: 1:16, 2:12, 5:0, 10:1
num[220]: 1:16, 2:12, 5:2, 10:0
num[221]: 1:16, 2:17, 5:0, 10:0
num[222]: 1:17, 2:4, 5:1, 10:2
num[223]: 1:17, 2:4, 5:3, 10:1
num[224]: 1:17, 2:4, 5:5, 10:0
num[225]: 1:17, 2:9, 5:1, 10:1
num[226]: 1:17, 2:9, 5:3, 10:0
num[227]: 1:17, 2:14, 5:1, 10:0
num[228]: 1:18, 2:1, 5:0, 10:3
num[229]: 1:18, 2:1, 5:2, 10:2
num[230]: 1:18, 2:1, 5:4, 10:1
num[231]: 1:18, 2:1, 5:6, 10:0
num[232]: 1:18, 2:6, 5:0, 10:2
num[233]: 1:18, 2:6, 5:2, 10:1
num[234]: 1:18, 2:6, 5:4, 10:0
num[235]: 1:18, 2:11, 5:0, 10:1
num[236]: 1:18, 2:11, 5:2, 10:0
num[237]: 1:18, 2:16, 5:0, 10:0
num[238]: 1:19, 2:3, 5:1, 10:2
num[239]: 1:19, 2:3, 5:3, 10:1
num[240]: 1:19, 2:3, 5:5, 10:0
num[241]: 1:19, 2:8, 5:1, 10:1
num[242]: 1:19, 2:8, 5:3, 10:0
num[243]: 1:19, 2:13, 5:1, 10:0
num[244]: 1:20, 2:0, 5:0, 10:3
num[245]: 1:20, 2:0, 5:2, 10:2
num[246]: 1:20, 2:0, 5:4, 10:1
num[247]: 1:20, 2:0, 5:6, 10:0
num[248]: 1:20, 2:5, 5:0, 10:2
num[249]: 1:20, 2:5, 5:2, 10:1
num[250]: 1:20, 2:5, 5:4, 10:0
num[251]: 1:20, 2:10, 5:0, 10:1
num[252]: 1:20, 2:10, 5:2, 10:0
num[253]: 1:20, 2:15, 5:0, 10:0
num[254]: 1:21, 2:2, 5:1, 10:2
num[255]: 1:21, 2:2, 5:3, 10:1
num[256]: 1:21, 2:2, 5:5, 10:0
num[257]: 1:21, 2:7, 5:1, 10:1
num[258]: 1:21, 2:7, 5:3, 10:0
num[259]: 1:21, 2:12, 5:1, 10:0
num[260]: 1:22, 2:4, 5:0, 10:2
num[261]: 1:22, 2:4, 5:2, 10:1
num[262]: 1:22, 2:4, 5:4, 10:0
num[263]: 1:22, 2:9, 5:0, 10:1
num[264]: 1:22, 2:9, 5:2, 10:0
num[265]: 1:22, 2:14, 5:0, 10:0
num[266]: 1:23, 2:1, 5:1, 10:2
num[267]: 1:23, 2:1, 5:3, 10:1
num[268]: 1:23, 2:1, 5:5, 10:0
num[269]: 1:23, 2:6, 5:1, 10:1
num[270]: 1:23, 2:6, 5:3, 10:0
num[271]: 1:23, 2:11, 5:1, 10:0
num[272]: 1:24, 2:3, 5:0, 10:2
num[273]: 1:24, 2:3, 5:2, 10:1
num[274]: 1:24, 2:3, 5:4, 10:0
num[275]: 1:24, 2:8, 5:0, 10:1
num[276]: 1:24, 2:8, 5:2, 10:0
num[277]: 1:24, 2:13, 5:0, 10:0
num[278]: 1:25, 2:0, 5:1, 10:2
num[279]: 1:25, 2:0, 5:3, 10:1
num[280]: 1:25, 2:0, 5:5, 10:0
num[281]: 1:25, 2:5, 5:1, 10:1
num[282]: 1:25, 2:5, 5:3, 10:0
num[283]: 1:25, 2:10, 5:1, 10:0
num[284]: 1:26, 2:2, 5:0, 10:2
num[285]: 1:26, 2:2, 5:2, 10:1
num[286]: 1:26, 2:2, 5:4, 10:0
num[287]: 1:26, 2:7, 5:0, 10:1
num[288]: 1:26, 2:7, 5:2, 10:0
num[289]: 1:26, 2:12, 5:0, 10:0
num[290]: 1:27, 2:4, 5:1, 10:1
num[291]: 1:27, 2:4, 5:3, 10:0
num[292]: 1:27, 2:9, 5:1, 10:0
num[293]: 1:28, 2:1, 5:0, 10:2
num[294]: 1:28, 2:1, 5:2, 10:1
num[295]: 1:28, 2:1, 5:4, 10:0
num[296]: 1:28, 2:6, 5:0, 10:1
num[297]: 1:28, 2:6, 5:2, 10:0
num[298]: 1:28, 2:11, 5:0, 10:0
num[299]: 1:29, 2:3, 5:1, 10:1
num[300]: 1:29, 2:3, 5:3, 10:0
num[301]: 1:29, 2:8, 5:1, 10:0
num[302]: 1:30, 2:0, 5:0, 10:2
num[303]: 1:30, 2:0, 5:2, 10:1
num[304]: 1:30, 2:0, 5:4, 10:0
num[305]: 1:30, 2:5, 5:0, 10:1
num[306]: 1:30, 2:5, 5:2, 10:0
num[307]: 1:30, 2:10, 5:0, 10:0
num[308]: 1:31, 2:2, 5:1, 10:1
num[309]: 1:31, 2:2, 5:3, 10:0
num[310]: 1:31, 2:7, 5:1, 10:0
num[311]: 1:32, 2:4, 5:0, 10:1
num[312]: 1:32, 2:4, 5:2, 10:0
num[313]: 1:32, 2:9, 5:0, 10:0
num[314]: 1:33, 2:1, 5:1, 10:1
num[315]: 1:33, 2:1, 5:3, 10:0
num[316]: 1:33, 2:6, 5:1, 10:0
num[317]: 1:34, 2:3, 5:0, 10:1
num[318]: 1:34, 2:3, 5:2, 10:0
num[319]: 1:34, 2:8, 5:0, 10:0
num[320]: 1:35, 2:0, 5:1, 10:1
num[321]: 1:35, 2:0, 5:3, 10:0
num[322]: 1:35, 2:5, 5:1, 10:0
num[323]: 1:36, 2:2, 5:0, 10:1
num[324]: 1:36, 2:2, 5:2, 10:0
num[325]: 1:36, 2:7, 5:0, 10:0
num[326]: 1:37, 2:4, 5:1, 10:0
num[327]: 1:38, 2:1, 5:0, 10:1
num[328]: 1:38, 2:1, 5:2, 10:0
num[329]: 1:38, 2:6, 5:0, 10:0
num[330]: 1:39, 2:3, 5:1, 10:0
num[331]: 1:40, 2:0, 5:0, 10:1
num[332]: 1:40, 2:0, 5:2, 10:0
num[333]: 1:40, 2:5, 5:0, 10:0
num[334]: 1:41, 2:2, 5:1, 10:0
num[335]: 1:42, 2:4, 5:0, 10:0
num[336]: 1:43, 2:1, 5:1, 10:0
num[337]: 1:44, 2:3, 5:0, 10:0
num[338]: 1:45, 2:0, 5:1, 10:0
num[339]: 1:46, 2:2, 5:0, 10:0
num[340]: 1:48, 2:1, 5:0, 10:0
num[341]: 1:50, 2:0, 5:0, 10:0
